Lemmato	Occorrenze
mente	19
fame	6
lama	8
dispetto	6
divieto	1
affilato	1
ragazza	14
masnada	1
siepe	9
saccheggiare	4
frutteto	8
genìa	4
insegnare	9
disprezzare	5
sfuggire	9
liberare	8
invidiabile	1
diventare	37
avanti	21
tagliare	10
spiccare	6
masticare	2
scoppiare	14
risata	5
durare	6
amico	26
quelli	33
scalzi	1
manica	1
camicia	4
spettinare	3
parrucchino	1
incipriatura	1
affatto	4
giudicato	1
aspetto	6
inferiore	1
damigella	2
padrona	2
amica	7
riempire	11
vergogna	5
parrucchin	1
canterellare	3
ripicco	1
orgoglio	4
voi	40
spaventare	9
serio	5
brigante	30
terribile	9
volare	30
sfiorare	6
spingarda	2
cinque	5
carrozza	21
viaggio	20
spada	24
stringere	10
II	16
spiegare	18
Gian	71
Brughi	70
dei	4
regalo	3
Natale	1
Pasqua	1
ah	51
ondata	1
faziosità	1
protettore	2
brigantaggio	1
contrabbando	2
zona	5
spinta	7
rapido	15
sgambettio	1
corda	22
Scendete	1
permesso	2
entrare	27
indire	2
incattivire	1
pario	5
calore	3
calma	6
ventaglio	4
posare	16
poltrona	5
vimini	3
caldo	9
passeggiare	2
indietro	8
bastonare	2
tono	10
proclamare	7
tentazione	2
Duca	4
territorio	16
ripetere	14
giusto	15
fissazione	2
millantare	1
smentire	2
discorso	17
ripetè	2
suolo	5
quassù	7
dappertutto	9
tuo	23
personale	4
vago	1
cielo	29
Di'	9
rodomontate	1
aspettare	38
imprevedibilmente	3
interessato	4
oltre	12
nell'	33
collina	5
bosco	90
Polonia	1
Sassonia	1
geografia	1
nome	28
parlare	46
egoista	1
te	22
invitare	15
tu	42
tua	2
stabilire	10
siccome	3
legare	27
dipendere	2
me.	3
afferrare	12
no.	10
Violante	4
Viola	70
Mino	6
patto	3
chiaro	13
ospite	3
sacro	2
entro	3
inviolabile	1
schiavo	5
incatenare	2
nemmeno	18
nemico	15
ugualmente	4
Biagio	4
vigliacco	2
ridurre	9
abitante	5
Lascia	1
signoria	2
regno	5
spezzare	7
casco	2
cenere	2
sei	3
sederti	2
nodo	5
urtare	1
aggrappare	13
esercizio	4
palestra	1
sciogliere	4
ginocchio	15
scattare	2
senso	16
provare	15
darti	1
insinuare	2
sberleffo	1
Vieni	2
sorridere	8
gentile	4
nessun	9
costo	5
ricominciare	3
leggero	8
uh	3
sedile	1
rovesciare	2
fortuna	7
saldo	2
altrimenti	4
piombare	5
salame	3
Traditrice	1
salita	5
discesa	2
maligno	4
finalmente	19
cavalcioni	8
asciugare	2
sudore	1
viso	47
Credevi	1
sventagliare	2
prorompere	4
acuto	7
femminile	2
signora	10
magro	3
largo	19
occhialino	3
ritrarre	2
intimidire	4
giovane	20
nascere	6
incantesimo	2
domandare	14
zia	19
scrutare	2
avvicinare	14
contemplare	4
strano	17
pappagallo	2
mais	6
est	9
des	4
Piovasques	1
jeune	1
homme	2
je	6
crois	1
Viens	1
avvampare	1
umiliazione	3
riconoscere	20
richiamare	3
fermezza	1
docile	1
richiamo	7
sottintendere	1
ch'	6
persona	27
esistere	4
straordinario	2
sprofondare	5
nube	4
ripungere	1
signorino	3
favorire	1
tazza	1
cioccolata	1
conoscenza	1
occhiata	4
sbieco	1
visto	2
nipote	2
tondo	4
battere	22
trasformare	2
rivincita	1
vendicare	1
avversario	2
intercedere	1
ufficialmente	1
accettare	8
sentimento	13
opposto	7
confuso	8
timidezza	2
solitudine	1
puntiglio	1
contrasto	2
frondosa	1
disparve	1
tonfo	4
fruscio	3
decidere	14
Macché	7
oscillare	2
Vedendomi	1
contrariato	2
arrabbiare	5
tacca	1
rivolgere	16
scalfire	1
agro	2
fico	15
T'	2
scostante	1
inghiottire	3
saliva	3
fretta	7
lezione	8
sera	20
mamma	9
babbo	3
rimpiattare	1
meditare	2
malfatto	1
chiedere	32
enunciare	1
convenire	1
rassicurare	1
avervi	1
trasgredire	1
insistere	4
richiesta	2
spiegazione	4
rispondere	41
America	3
alcun	20
comunicarmi	1
scoperta	3
Troncò	1
comunque	10
spassare	2
portamici	1
schifoso	1
ingozzare	1
dimmi	8
procurare	10
passaggio	8
carrucola	1
gancio	2
chiodo	3
gru	1
trasportare	7
canna	8
costruire	12
capannuccia	1
caso	22
scegliere	11
recapito	1
quercia	22
cava	1
cestino	2
perdonare	6
aiutarmi	1
fìnta	2
obbligare	7
merenda	2
tramonto	7
cena	4
buio	15
insomma	22
limite	2
proporzione	1
atto	2
simile	6
persuadere	2
premura	1
informare	6
combinare	3
svignarmela	1
colto	1
confabulare	2
punizione	1
leggere	36
ombra	29
codardia	1
tornare	59
buon	4
capitozzato	1
mento	5
stinco	2
minare	1
fece	2
fiato	4
fetta	1
crema	1
cioccolato	1
dev'	2
essersi	5
camera	5
bile	1
carezzare	5
Va'	2
digli	1
mordicchiare	4
coperto	8
farti	1
portamela	1
dinanzi	1
capolino	2
volteggiare	2
aquilone	3
apparecchiare	2
accendere	6
morrai	1
lato	2
ciondoloni	2
giudizio	2
questione	6
oooh	1
robusto	3
cento	4
tradire	4
riguardo	3
invidia	2
abituare	3
stranezza	5
qualcuno	16
mordere	5
unghia	4
dito	12
rovescio	1
soldato	15
Slavonia	1
Pomerania	1
avvistare	2
evitare	4
imboscato	1
smarrire	4
materno	4
riportare	9
clima	2
favorito	1
comportamento	2
divenire	4
tranquillo	4
fiero	5
retta	4
tranne	9
assentire	3
gravità	2
guerresco	1
parallelo	1
trarre	9
qualsiasi	6
argomento	3
sgombrare	6
responsabilità	1
preoccupazione	5
orario	1
soddisfazione	4
stanchezza	3
scomodità	2
snidare	2
ognuno	13
quartiere	1
facciata	1
acceso	2
riquadro	1
impannate	1
nostalgia	6
pernottare	1
sereno	3
indovinare	5
rannicchiare	8
incavo	2
luna	18
tardi	7
risplendere	1
cincie	1
attraversare	13
remoto	1
mugghiare	2
frastagliare	2
respiro	4
alveo	1
affidare	1
esso	7
intorno	51
oggetto	7
abbracciare	10
minuta	1
galleria	1
larva	2
spegnere	4
lettino	1
intatto	2
fuor	5
rivoltare	1
lenzuolo	14
avvertire	10
gioia	7
nudo	12
disagio	5
allacciare	1
potersi	1
girare	23
rotta	8
abbandonato	2
coscienza	4
pulito	3
materasso	2
morbido	4
proiettare	4
richiudere	1
libro	48
antico	7
scimmia	4
Roma	1
Spagna	6
fitti	4
golfo	3
valle	12
cresta	1
monte	4
nominare	5
contrada	1
Francesi	6
prato	39
falciare	2
ricrescere	2
Napoleone	16
smettere	5
dovunque	2
vegetazione	7
contorcere	4
ingombrare	1
orto	10
cupola	2
pesante	4
ciliegio	14
bruno	2
cotogni	1
pescare	6
mandorli	3
pero	2
prodigare	2
susini	3
sorbi	1
noce	18
annoso	1
grigio-argento	1
nuvola	13
sbiocca	1
costa	8
paese	16
accatastare	1
rocca	1
leccio	10
platano	16
roveri	3
disinteressato	1
altera	1
sfogo	2
ordinare	5
cinto	1
cancello	3
olivo	16
pino	23
regnare	1
plaga	1
infiltrare	1
ciuffo	4
versante	2
spiaggia	7
larice	1
frequente	2
sembrare	18
pregiato	3
vittima	2
scura	2
castagno	11
montagna	4
confine	6
universo	1
linfa	1
accorgercene	1
Capì	1
spostarsi	1
miglio	2
impratichire	1
itinerario	5
misurare	4
distanza	6
estimo	1
tracciato	2
salto	20
accorgimento	1
alba	3
schiamazzo	1
storno	1
madido	1
rugiada	1
intirizzito	1
formicolio	1
felice	18
corona	3
fumo	8
casolari	2
ripe	2
mucchio	2
sasso	10
alzato	1
prugni	1
tarchiato	1
fogliolina	2
colore	11
accesparsi	1
lattughe	1
verze	1
semenzai	2
V	3
imbuto	1
paesaggio	3
onda	8
visibile	2
udibile	1
bastare	28
propagare	7
inquietudine	2
scoppio	5
crosciare	3
vociacce	1
infuriare	1
convergere	3
probabile	2
provenienza	1
dentato	1
veleggiare	1
distratto	4
precedenza	1
formulare	1
ciliegia	9
frondoso	2
dirigere	6
carico	9
distinguere	5
addossare	11
maturo	10
ciacc	1
